index,date,p1,p2,p3,p4,p5,w1,w2,w3,n1,n2,n3,n4,n5,n6,b,nn1,nn2,nn3,nn4,nn5,nn6,
944,2021.01.02,13,79,3057,147665,2440455,1961836356 ,53805639 ,1390464 ,2,13,16,19,32,33,42,2,11,3,3,13,1,
943,2020.12.26,7,74,2722,135763,2238429,3435045108 ,54156117 ,1472283 ,1,8,13,36,44,45,39,1,7,5,23,8,1,
942,2020.12.19,6,52,2473,120907,2045438,3761680313 ,72340007 ,1521101 ,10,12,18,35,42,43,39,10,2,6,17,7,1,
941,2020.12.12,16,87,3275,145544,2282851,1347297422 ,41296473 ,1097037 ,12,14,25,27,39,40,35,12,2,11,2,12,1,
940,2020.12.05,8,51,2329,123292,2087480,2846071079 ,74407088 ,1629353 ,3,15,20,22,24,41,11,3,12,5,2,2,17,
939,2020.11.28,13,67,2682,128408,2127595,1708363039 ,55245571 ,1380110 ,4,11,28,39,42,45,6,4,7,17,11,3,3,
938,2020.11.21,10,64,2531,124971,2096955,2249466563 ,58579859 ,1481277 ,4,8,10,16,31,36,9,4,4,2,6,15,5,
937,2020.11.14,11,57,2480,124141,2092601,2058420819 ,66206518 ,1521683 ,2,10,13,22,29,40,26,2,8,3,9,7,11,
936,2020.11.07,14,77,2864,140160,2252623,1492069179 ,45214218 ,1215606 ,7,11,13,17,18,29,43,7,4,2,4,1,11,
935,2020.10.31,13,120,2933,134376,2118071,1711055424 ,30894057 ,1263992 ,4,10,20,32,38,44,18,4,6,10,12,6,6,
934,2020.10.24,4,66,2359,116726,1985417,5765772844 ,58240130 ,1629440 ,1,3,30,33,36,39,12,1,2,27,3,3,3,
933,2020.10.17,8,63,2215,114043,1962088,2927797079 ,61963960 ,1762407 ,23,27,29,31,36,45,37,23,4,2,2,5,9,
932,2020.10.10,7,64,2420,120969,2067196,3390022983 ,61797294 ,1634309 ,1,6,15,36,37,38,5,1,5,9,21,1,1,
931,2020.10.03,8,54,2596,121943,2041653,2957108063 ,73015014 ,1518803 ,14,15,23,25,35,43,32,14,1,8,2,10,8,
930,2020.09.26,8,55,2776,128480,2124548,2832418829 ,68664699 ,1360432 ,8,21,25,38,39,44,28,8,13,4,13,1,5,
929,2020.09.19,16,91,3028,140880,2244712,1308035157 ,38330701 ,1151947 ,7,9,12,15,19,23,4,7,2,3,3,4,4,
928,2020.09.12,7,81,2639,121873,2011931,3134591358 ,45148436 ,1385761 ,3,4,10,20,28,44,30,3,1,6,10,8,16,
927,2020.09.05,6,63,2331,118446,1979589,3714203875 ,58955618 ,1593396 ,4,15,22,38,41,43,26,4,11,7,16,3,2,
926,2020.08.29,10,72,2923,133167,2085580,2032490663 ,47048395 ,1158907 ,10,16,18,20,25,31,6,10,6,2,2,5,6,
925,2020.08.22,12,68,2335,117863,1944019,1771080532 ,52090604 ,1516986 ,13,24,32,34,39,42,4,13,11,8,2,5,3,
924,2020.08.15,9,69,2198,113214,1920852,2382430667 ,51791972 ,1625863 ,3,11,34,42,43,44,13,3,8,23,8,1,1,
923,2020.08.08,8,56,2376,115877,1937187,2667554625 ,63513206 ,1496945 ,3,17,18,23,36,41,26,3,14,1,5,13,5,
922,2020.08.01,6,89,2876,136052,2097501,3417904500 ,38403422 ,1188423 ,2,6,13,17,27,43,36,2,4,7,4,10,16,
921,2020.07.25,17,72,2682,129993,2101238,1232573405 ,48504047 ,1302123 ,5,7,12,22,28,41,1,5,2,5,10,6,13,
920,2020.07.18,7,53,2348,117181,1984222,3120260197 ,68684973 ,1550385 ,2,3,26,33,34,43,29,2,1,23,7,1,9,
919,2020.07.11,5,56,2541,122864,2052965,4305150450 ,64064739 ,1411896 ,9,14,17,18,42,44,35,9,5,3,1,24,2,
918,2020.07.04,18,86,2718,137216,2183337,1117622646 ,38986837 ,1233580 ,7,11,12,31,33,38,5,7,4,1,19,2,5,
917,2020.06.27,10,47,2260,117542,2000201,2144799638 ,76056725 ,1581711 ,1,3,23,24,27,43,34,1,2,20,1,3,16,
916,2020.06.20,11,70,2184,111426,1857917,2025384341 ,53045781 ,1700186 ,6,21,22,32,35,36,17,6,15,1,10,3,1,
915,2020.06.13,6,63,2436,119025,1966167,3518640500 ,55851437 ,1444434 ,2,6,11,13,22,37,14,2,4,5,2,9,15,
914,2020.06.06,11,55,2585,122904,2006794,1950005557 ,65000186 ,1382983 ,16,19,24,33,42,44,27,16,3,5,9,9,2,
913,2020.05.30,16,66,2467,122530,1996371,1338755602 ,54091136 ,1447108 ,6,14,16,21,27,37,40,6,8,2,5,6,10,
912,2020.05.23,14,70,2547,125332,2030860,1493500581 ,49783353 ,1368212 ,5,8,18,21,22,38,10,5,3,10,3,1,16,
911,2020.05.16,10,58,2571,123236,2064778,2113538625 ,60733869 ,1370115 ,4,5,12,14,32,42,35,4,1,7,2,18,10,
910,2020.05.09,21,72,2694,128516,2074354,941316375 ,45758435 ,1222943 ,1,11,17,27,35,39,31,1,10,6,10,8,4,
909,2020.05.02,11,63,2316,111558,1910295,2021062875 ,58814000 ,1599863 ,7,24,29,30,34,35,33,7,17,5,1,4,1,
908,2020.04.25,8,57,2161,108610,1858567,2834856141 ,66312425 ,1749102 ,3,16,21,22,23,44,30,3,13,5,1,1,21,
907,2020.04.18,7,67,2300,112189,1903128,3165059036 ,55112969 ,1605465 ,21,27,29,38,40,44,37,21,6,2,9,2,4,
906,2020.04.11,9,63,2369,117171,1988860,2472607250 ,58871602 ,1565602 ,2,5,14,28,31,32,20,2,3,9,14,3,1,
905,2020.04.04,7,77,2643,129133,2111090,3017862536 ,45725190 ,1332138 ,3,4,16,27,38,40,20,3,1,12,11,11,2,
904,2020.03.28,8,92,2337,115626,1938996,2718077813 ,39392433 ,1550751 ,2,6,8,26,43,45,11,2,4,2,18,17,2,
903,2020.03.21,13,49,2316,111981,1902821,1684582212 ,74488330 ,1575963 ,2,15,16,21,22,28,45,2,13,1,5,1,6,
902,2020.03.14,13,67,2372,119126,1945304,1619317529 ,52365990 ,1479141 ,7,19,23,24,36,39,30,7,12,4,1,12,3,
901,2020.03.07,9,67,2308,114451,1890747,2267974667 ,50775553 ,1473987 ,5,18,20,23,30,34,21,5,13,2,3,7,4,
900,2020.02.29,6,51,2385,113132,1872855,3349851375 ,65683361 ,1404550 ,7,13,16,18,35,38,14,7,6,3,2,17,3,
899,2020.02.22,6,53,2402,121900,1993765,3359356063 ,63384077 ,1398567 ,8,19,20,21,33,39,37,8,11,1,1,12,6,
